Invoice;StockCode;Description;Quantity;InvoiceDate;Price;Customer ID;Category
562980;23082;SET 6 PAPER TABLE LANTERN HEARTS;6;11/08/11 11.44;4.41;17686;Home & Living
576087;23388;WOODLAND MINI BACKPACK;4;14/11/11 08.31;11.14;12689;Bags & Accessories
572050;23085;ANTIQUE SILVER BAUBLE LAMP;2;20/10/11 12.23;3.21;17346;Seasonal & Events
566607;23348;CHILDRENS TOY COOKING UTENSIL SET;1;13/09/11 16.40;6.73;13032;Toys & Games
577504;20728;LUNCH BAG CARS BLUE;6;20/11/11 12.36;3.46;14159;Bags & Accessories
540992;22613;PACK OF 20 SPACEBOY NAPKINS;3;12/01/11 16.57;11.82;17364;Kitchen & Dining
543115;21656;RIDGED GLASS POSY VASE;2;03/02/11 13.27;8.03;14606;Home & Living
556819;23285;PINK VINTAGE SPOT BEAKER;8;15/06/11 10.21;12.01;12682;Others
567200;16218;CARTOON  PENCIL SHARPENERS;80;19/09/11 10.15;2.65;16460;Stationery & Wrap
574336;23366;SET 12 COLOURING PENCILS DOILY;16;04/11/11 09.52;9.42;12397;Bags & Accessories
541596;22647;CERAMIC LOVE HEART MONEY BANK;8;19/01/11 16.19;1.66;17602;Others
580816;84804A;CREAM DELPHINIUM ARTIFICIAL FLOWER;12;06/12/11 11.28;11.49;15157;Others
576065;23301;GARDENERS KNEELING PAD KEEP CALM;7;13/11/11 15.42;8.31;15005;Others
566281;23054;RECYCLED ACAPULCO MAT LAVENDER;1;11/09/11 14.15;14.17;12748;Others
537864;20723;STRAWBERRY CHARLOTTE BAG;20;08/12/10 16.34;14.95;16700;Bags & Accessories
563206;23200;JUMBO BAG PEARS;2;14/08/11 12.08;6.91;17613;Bags & Accessories
550988;85099B;JUMBO BAG RED RETROSPOT;10;21/04/11 18.10;7.20;14231;Bags & Accessories
537222;20726;LUNCH BAG WOODLAND;10;05/12/10 16.00;8.46;14404;Bags & Accessories
537042;21930;JUMBO STORAGE BAG SKULLS;1;05/12/10 10.45;8.34;13838;Bags & Accessories
572763;22908;PACK OF 20 NAPKINS RED APPLES;12;26/10/11 09.54;13.44;12812;Kitchen & Dining
557758;21530;DAIRY MAID TOASTRACK;1;22/06/11 13.28;5.49;17585;Others
554982;47590B;PINK HAPPY BIRTHDAY BUNTING;120;29/05/11 12.16;6.59;17152;Seasonal & Events
566599;22114;HOT WATER BOTTLE TEA AND SYMPATHY;1;13/09/11 15.37;10.04;15998;Kitchen & Dining
562984;22686;FRENCH BLUE METAL DOOR SIGN No;1;11/08/11 11.45;1.63;17841;Home & Living
579258;23493;VINTAGE DOILY TRAVEL SEWING KIT;10;29/11/11 08.21;10.24;15148;Others
578038;22810;SET OF 6 T-LIGHTS SNOWMEN;18;22/11/11 14.10;9.73;14251;Seasonal & Events
568685;22999;TRAVEL CARD WALLET VINTAGE LEAF;72;28/09/11 14.21;10.12;16394;Bags & Accessories
572921;23147;SINGLE ANTIQUE ROSE HOOK IVORY;1;26/10/11 16.57;12.80;15993;Home & Living
571837;23346;SPACEBOY BEAKER;3;19/10/11 12.11;4.42;16470;Others
562131;20725;LUNCH BAG RED RETROSPOT;10;03/08/11 09.30;7.97;18178;Bags & Accessories
564740;22195;LARGE HEART MEASURING SPOONS;1;28/08/11 14.39;6.43;14044;Kitchen & Dining
544586;79000;MOROCCAN TEA GLASS;12;21/02/11 15.04;13.82;17338;Others
574674;22797;CHEST OF DRAWERS GINGHAM HEART;1;06/11/11 12.30;2.71;14404;Others
569491;23237;SET OF 4 KNICK KNACK TINS LEAF;2;04/10/11 13.25;11.22;14056;Kitchen & Dining
580903;21985;PACK OF 12 HEARTS DESIGN TISSUES;4;06/12/11 12.56;2.31;14606;Home & Living
538597;22493;PAINT YOUR OWN CANVAS SET;4;13/12/10 12.26;3.28;15555;Others
573367;22077;6 RIBBONS RUSTIC CHARM;12;30/10/11 13.17;14.12;16145;Stationery & Wrap
580364;21544;SKULLS  WATER TRANSFER TATTOOS;12;02/12/11 16.34;9.46;13309;Others
546882;22801;ANTIQUE GLASS PEDESTAL BOWL;4;17/03/11 17.26;6.91;14422;Kitchen & Dining
559984;85049E;SCANDINAVIAN REDS RIBBONS;1;14/07/11 11.45;6.43;16657;Stationery & Wrap
542888;22625;RED KITCHEN SCALES;2;01/02/11 13.15;6.68;15687;Others
577691;20725;LUNCH BAG RED RETROSPOT;2;21/11/11 11.34;10.04;14587;Bags & Accessories
550836;22829;SWEETHEART WIRE WALL TIDY;2;21/04/11 10.55;7.72;14759;Others
572055;23012;GLASS APOTHECARY BOTTLE PERFUME;1;20/10/11 12.34;12.02;17346;Others
550272;21259;VICTORIAN SEWING BOX SMALL;1;15/04/11 12.14;1.02;18079;Others
562935;85099C;JUMBO  BAG BAROQUE BLACK WHITE;10;10/08/11 17.11;0.97;14156;Bags & Accessories
548358;79066K;RETRO MOD TRAY;10;30/03/11 15.29;11.12;15832;Kitchen & Dining
539185;21399;BLUE POLKADOT COFFEE MUG;3;16/12/10 11.53;14.20;16470;Kitchen & Dining
571477;21125;SET 6 FOOTBALL CELEBRATION CANDLES;12;17/10/11 14.54;10.53;12794;Seasonal & Events
578852;22475;SKULL DESIGN TV DINNER TRAY;2;27/11/11 11.12;7.33;17841;Home & Living
564201;22077;6 RIBBONS RUSTIC CHARM;12;24/08/11 08.09;14.38;12540;Stationery & Wrap
558881;23285;PINK VINTAGE SPOT BEAKER;8;04/07/11 14.36;9.00;12705;Others
577549;22154;ANGEL DECORATION 3 BUTTONS;1;20/11/11 15.00;6.47;17841;Home & Living
573315;23547;WRAP FLOWER SHOP;25;28/10/11 17.27;13.00;17839;Stationery & Wrap
579881;85159A;BLACK TEA,COFFEE,SUGAR JARS;12;30/11/11 17.22;3.91;12429;Kitchen & Dining
541567;22894;TABLECLOTH RED APPLES DESIGN;4;19/01/11 11.51;6.04;12681;Home & Living
573038;23439;HAND WARMER RED LOVE HEART;2;27/10/11 13.48;1.57;17545;Kitchen & Dining
565865;23190;BUNDLE OF 3 SCHOOL EXERCISE BOOKS;12;07/09/11 15.07;10.32;12637;Others
572055;22094;RED RETROSPOT TISSUE BOX;2;20/10/11 12.34;10.66;17346;Others
569327;23177;TREASURE ISLAND BOOK BOX;8;03/10/11 12.47;1.33;15091;Others
568095;21744;SNOWFLAKE PORTABLE TABLE LIGHT;6;23/09/11 14.49;2.53;14911;Home & Living
555493;21136;PAINTED METAL PEARS ASSORTED;24;03/06/11 14.26;1.62;13695;Others
574824;22781;GUMBALL MAGAZINE RACK;4;07/11/11 10.43;3.18;13097;Others
542629;21527;RED RETROSPOT TRADITIONAL TEAPOT;12;31/01/11 09.57;9.67;12731;Kitchen & Dining
559313;22499;WOODEN UNION JACK BUNTING;12;07/07/11 13.44;11.58;16325;Seasonal & Events
574826;22755;SMALL PURPLE BABUSHKA NOTEBOOK;2;07/11/11 10.58;5.67;15870;Stationery & Wrap
